time (ms),ω (π/sec),Δθ (π),σ_θ (π),p (Mπ/sec),σ_p (Mπ/sec)
0.000,0.000e+00,3.534e-17,2.450e-03,-6.702e-14,2.331e+01
0.002,1.237e-02,-6.064e-14,2.450e-03,-2.098e-07,2.331e+01
0.003,4.936e-02,-1.995e-12,2.450e-03,-3.352e-06,2.331e+01
0.004,1.110e-01,-1.521e-11,2.450e-03,-1.696e-05,2.331e+01
0.006,1.972e-01,-6.417e-11,2.450e-03,-5.357e-05,2.331e+01
0.007,3.078e-01,-1.959e-10,2.450e-03,-1.307e-04,2.331e+01
0.009,4.428e-01,-4.875e-10,2.450e-03,-2.709e-04,2.331e+01
0.011,6.021e-01,-1.053e-09,2.450e-03,-5.017e-04,2.331e+01
0.012,7.855e-01,-2.053e-09,2.450e-03,-8.553e-04,2.331e+01
0.013,9.927e-01,-3.698e-09,2.450e-03,-1.369e-03,2.331e+01
0.015,1.224e+00,-6.260e-09,2.450e-03,-2.085e-03,2.331e+01
0.017,1.478e+00,-1.008e-08,2.450e-03,-3.050e-03,2.331e+01
0.018,1.756e+00,-1.556e-08,2.450e-03,-4.316e-03,2.331e+01
0.019,2.056e+00,-2.320e-08,2.450e-03,-5.939e-03,2.331e+01
0.021,2.379e+00,-3.358e-08,2.450e-03,-7.979e-03,2.331e+01
0.022,2.725e+00,-4.738e-08,2.450e-03,-1.050e-02,2.331e+01
0.024,3.092e+00,-6.536e-08,2.450e-03,-1.358e-02,2.331e+01
0.025,3.481e+00,-8.843e-08,2.450e-03,-1.728e-02,2.331e+01
0.027,3.892e+00,-1.176e-07,2.450e-03,-2.169e-02,2.331e+01
0.029,4.323e+00,-1.539e-07,2.450e-03,-2.689e-02,2.331e+01
0.030,4.775e+00,-1.987e-07,2.450e-03,-3.296e-02,2.331e+01
0.032,5.246e+00,-2.533e-07,2.450e-03,-4.000e-02,2.331e+01
0.033,5.737e+00,-3.192e-07,2.450e-03,-4.810e-02,2.331e+01
0.035,6.247e+00,-3.981e-07,2.450e-03,-5.736e-02,2.331e+01
0.036,6.776e+00,-4.919e-07,2.450e-03,-6.788e-02,2.331e+01
0.037,7.322e+00,-6.025e-07,2.450e-03,-7.976e-02,2.331e+01
0.039,7.886e+00,-7.319e-07,2.450e-03,-9.312e-02,2.331e+01
0.041,8.467e+00,-8.826e-07,2.450e-03,-1.081e-01,2.331e+01
0.042,9.064e+00,-1.057e-06,2.450e-03,-1.247e-01,2.331e+01
0.043,9.677e+00,-1.258e-06,2.450e-03,-1.432e-01,2.331e+01
0.045,1.031e+01,-1.487e-06,2.450e-03,-1.636e-01,2.331e+01
0.046,1.095e+01,-1.749e-06,2.450e-03,-1.861e-01,2.331e+01
0.048,1.160e+01,-2.047e-06,2.450e-03,-2.107e-01,2.331e+01
0.050,1.227e+01,-2.383e-06,2.450e-03,-2.377e-01,2.331e+01
0.051,1.296e+01,-2.761e-06,2.450e-03,-2.672e-01,2.331e+01
0.052,1.365e+01,-3.186e-06,2.450e-03,-2.992e-01,2.331e+01
0.054,1.436e+01,-3.660e-06,2.450e-03,-3.339e-01,2.331e+01
0.056,1.507e+01,-4.189e-06,2.450e-03,-3.715e-01,2.331e+01
0.057,1.580e+01,-4.776e-06,2.450e-03,-4.121e-01,2.331e+01
0.059,1.653e+01,-5.427e-06,2.450e-03,-4.558e-01,2.331e+01
0.060,1.727e+01,-6.145e-06,2.450e-03,-5.028e-01,2.331e+01
0.061,1.803e+01,-6.937e-06,2.450e-03,-5.532e-01,2.331e+01
0.063,1.878e+01,-7.807e-06,2.450e-03,-6.072e-01,2.331e+01
0.065,1.955e+01,-8.760e-06,2.450e-03,-6.649e-01,2.331e+01
0.066,2.032e+01,-9.803e-06,2.450e-03,-7.264e-01,2.331e+01
0.068,2.109e+01,-1.094e-05,2.450e-03,-7.919e-01,2.331e+01
0.069,2.187e+01,-1.218e-05,2.450e-03,-8.615e-01,2.331e+01
0.070,2.265e+01,-1.353e-05,2.450e-03,-9.354e-01,2.331e+01
0.072,2.343e+01,-1.499e-05,2.450e-03,-1.014e+00,2.331e+01
0.073,2.421e+01,-1.657e-05,2.450e-03,-1.097e+00,2.331e+01
0.075,2.500e+01,-1.828e-05,2.450e-03,-1.184e+00,2.331e+01
